Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayDescription,PlayStart
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,1,LAC,1,1,0,Kickoff,K.Fairbairn kicks 66 yards from HOU 35 to LAC -1. D.Davis to LAC 27 for 28 yards (D.Phillips; M.Stewart).,Kickoff from HOU 35
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,1,LAC,1,2,0,2 Yard Run,(14:55) (Shotgun) J.Dobbins left tackle to LAC 29 for 2 yards (C.Harris).,1st & 10 at LAC 27
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,1,LAC,1,3,0,8 Yard Run,(14:20) S.Mustipher reported in as eligible.  J.Dobbins left tackle to LAC 37 for 8 yards (H.To'oTo'o; K.Lassiter).,2nd & 8 at LAC 29
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,1,LAC,1,4,0,10 Yard Pass,(13:36) (Shotgun) J.Herbert pass short middle to L.McConkey to LAC 47 for 10 yards (E.Murray).,1st & 10 at LAC 37
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,1,LAC,1,5,0,7 Yard Pass,(12:56) (Shotgun) J.Herbert pass short left to W.Dissly to HOU 46 for 7 yards (A.Al-Shaair; H.To'oTo'o).,1st & 10 at LAC 47
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,1,LAC,1,6,0,8 Yard Run,(12:19) J.Dobbins up the middle to HOU 38 for 8 yards (H.To'oTo'o; M.Bryant).,2nd & 3 at HOU 46
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,1,LAC,1,7,0,15 Yard Pass,(11:42) J.Herbert pass short left to T.Fisk to HOU 23 for 15 yards (A.Al-Shaair). HOU-A.Al-Shaair was injured during the play.,1st & 10 at HOU 38
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,1,LAC,1,8,0,Pass Incomplete,(11:11) (Shotgun) J.Herbert pass incomplete deep left to L.McConkey.,1st & 10 at HOU 23
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,1,LAC,1,9,0,9 Yard Pass,(11:06) J.Herbert pass short middle to W.Dissly to HOU 14 for 9 yards (A.Al-Shaair; E.Murray). ** Injury Update: HOU-A.Al-Shaair has returned to the game.,2nd & 10 at HOU 23
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,1,LAC,1,10,0,-2 Yard Run,"(10:20) J.Dobbins right tackle to HOU 16 for -2 yards (F.Fatukasi, C.Bullock).",3rd & 1 at HOU 14
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,1,LAC,1,11,1,Field Goal,"(9:41) C.Dicker 35 yard field goal is GOOD, Center-J.Harris, Holder-J.Scott.",4th & 3 at HOU 16
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,2,HOU,0,1,0,Kickoff,"C.Dicker kicks 65 yards from LAC 35 to end zone, Touchback to the HOU 30.",Kickoff from LAC 35
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,2,HOU,0,2,0,Fumble,"(9:37) (Shotgun) C.Stroud pass short left to J.Metchie to HOU 37 for 7 yards (A.Gilman). FUMBLES (A.Gilman), RECOVERED by LAC-D.James at HOU 38. D.James to HOU 33 for 5 yards (X.Hutchinson; J.Metchie).",1st & 10 at HOU 30
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,3,LAC,1,1,0,8 Yard Run,(9:28) (Shotgun) G.Edwards right tackle to HOU 25 for 8 yards (A.Al-Shaair).,1st & 10 at HOU 33
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,3,LAC,1,2,0,3 Yard Run,(8:49) (Shotgun) G.Edwards left guard to HOU 22 for 3 yards (H.To'oTo'o).,2nd & 2 at HOU 25
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,3,LAC,1,3,0,Sack,(8:10) S.Mustipher reported in as eligible.  J.Herbert sacked at HOU 31 for -9 yards (sack split by W.Anderson and M.Edwards).,1st & 10 at HOU 22
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,3,LAC,1,4,0,Pass Incomplete,(7:29) (Shotgun) J.Herbert pass incomplete deep left to W.Dissly [A.Al-Shaair].,2nd & 19 at HOU 31
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,3,LAC,1,5,0,10 Yard Pass,(7:24) (Shotgun) J.Herbert pass short right to D.Chark to HOU 21 for 10 yards (M.Bryant).,3rd & 19 at HOU 31
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,3,LAC,1,6,1,Field Goal,"(6:39) C.Dicker 39 yard field goal is GOOD, Center-J.Harris, Holder-J.Scott.",4th & 9 at HOU 21
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,4,HOU,0,1,0,Kickoff,"C.Dicker kicks 65 yards from LAC 35 to end zone, Touchback to the HOU 30.",Kickoff from LAC 35
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,4,HOU,0,2,0,3 Yard Run,(6:35) J.Mixon left tackle to HOU 33 for 3 yards (D.Henley; D.Perryman).,1st & 10 at HOU 30
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,4,HOU,0,3,0,Run for No Gain,(6:01) J.Mixon left tackle to HOU 33 for no gain (J.Bosa; D.Perryman).,2nd & 7 at HOU 33
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,4,HOU,0,4,0,Pass Incomplete,(5:18) (Shotgun) C.Stroud pass incomplete short right to J.Metchie.,3rd & 7 at HOU 33
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,4,HOU,0,5,0,Punt,"(5:10) T.Townsend punts 67 yards to end zone, Center-J.Weeks, Touchback.
PENALTY on HOU-K.Boyd, Fair Catch Interference, 15 yards, enforced at LAC 20.",4th & 7 at HOU 33
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,5,LAC,0,1,0,-5 Yard Penalty,"(4:58) (Shotgun) J.Herbert pass short left to D.Davis pushed ob at LAC 38 for 3 yards (A.Al-Shaair; K.Lassiter).
PENALTY on LAC-J.Salyer, Ineligible Downfield Pass, 5 yards, enforced at LAC 35 - No Play.",1st & 10 at LAC 35
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,5,LAC,0,2,0,1 Yard Run,(4:28) (Shotgun) J.Dobbins up the middle to LAC 31 for 1 yard (F.Fatukasi).,1st & 15 at LAC 30
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,5,LAC,0,3,0,5 Yard Penalty,"(3:49) (Shotgun) J.Herbert pass incomplete deep middle to D.Davis (T.Settle).
PENALTY on HOU-D.Hunter, Defensive Holding, 5 yards, enforced at LAC 31 - No Play.",2nd & 14 at LAC 31
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,5,LAC,0,4,0,1 Yard Run,(3:42) (Shotgun) G.Edwards left tackle to LAC 37 for 1 yard (D.Hunter).,1st & 10 at LAC 36
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,5,LAC,0,5,0,Pass Incomplete,(2:58) (Shotgun) J.Herbert pass incomplete short left to H.Haskins.,2nd & 9 at LAC 37
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,5,LAC,0,6,0,Pass Incomplete,"(2:53) (Shotgun) J.Herbert pass incomplete short middle to D.Chark (W.Anderson, M.Bryant) [W.Anderson].",3rd & 9 at LAC 37
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,1ST QUARTER,5,LAC,0,7,0,Punt,"(2:48) J.Scott punts 35 yards to HOU 28, Center-J.Harris, downed by LAC-J.Harris.",4th & 9 at LAC 37
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,1,HOU,0,1,0,14 Yard Pass,(2:35) (Shotgun) C.Stroud pass short middle to D.Schultz to HOU 42 for 14 yards (A.Gilman).,1st & 10 at HOU 28
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,1,HOU,0,2,0,13 Yard Pass,(2:05) C.Stroud pass short middle to R.Woods to LAC 45 for 13 yards (D.James).,1st & 10 at HOU 42
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,1,HOU,0,3,0,Pass Incomplete,(1:29) C.Stroud pass incomplete short right to J.Metchie.,1st & 10 at LAC 45
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,1,HOU,0,4,0,-5 Yard Sack,(1:25) (Shotgun) C.Stroud sacked at 50 for -5 yards (J.Bosa).,2nd & 10 at LAC 45
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,1,HOU,0,5,0,9 Yard Pass,(:40) (Shotgun) C.Stroud pass short middle to D.Schultz to LAC 41 for 9 yards (D.James; D.Henley).,3rd & 15 at 50
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,1,HOU,0,6,0,Punt,"(15:00) T.Townsend punts 38 yards to LAC 8, Center-J.Weeks, fair catch by D.Davis.",4th & 11 at LAC 46
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,2,LAC,0,1,0,12 Yard Pass,(14:54) J.Herbert pass short middle to L.McConkey to LAC 20 for 12 yards (D.Stingley).,1st & 10 at LAC 8
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,2,LAC,0,2,0,15 Yard Pass,(14:11) J.Herbert pass short middle to L.McConkey to LAC 35 for 15 yards (E.Murray; C.Bullock).,1st & 10 at LAC 20
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,2,LAC,0,3,0,6 Yard Run,(13:32) (Shotgun) J.Dobbins left tackle to LAC 41 for 6 yards (H.To'oTo'o).,1st & 10 at LAC 35
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,2,LAC,0,4,0,Pass Incomplete,(12:54) (Shotgun) J.Herbert pass incomplete short right to L.McConkey.,2nd & 4 at LAC 41
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,2,LAC,0,5,0,Pass Incomplete,(12:51) (Shotgun) J.Herbert pass incomplete short right to Q.Johnston (K.Lassiter).,3rd & 4 at LAC 41
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,2,LAC,0,6,0,Punt,"(12:46) J.Scott punts 47 yards to HOU 12, Center-J.Harris, fair catch by R.Woods.",4th & 4 at LAC 41
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,3,HOU,0,1,0,3 Yard Run,(12:38) J.Mixon right guard to HOU 15 for 3 yards (J.Colson; K.Mack).,1st & 10 at HOU 12
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,3,HOU,0,2,0,Pass Incomplete,(11:53) (Shotgun) C.Stroud pass incomplete deep right to N.Collins.,2nd & 7 at HOU 15
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,3,HOU,0,3,0,Interception,(11:46) (Shotgun) C.Stroud pass deep left intended for J.Metchie INTERCEPTED by D.Leonard at HOU 40. D.Leonard ran ob at HOU 40 for no gain.,3rd & 7 at HOU 15
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,4,LAC,0,1,0,Interception,(11:39) J.Herbert pass deep left intended for Q.Johnston INTERCEPTED by K.Lassiter at HOU 10. K.Lassiter to HOU 10 for no gain (Q.Johnston).,1st & 10 at HOU 40
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,5,HOU,0,1,0,13 Yard Pass,(11:31) (Shotgun) C.Stroud pass short right to N.Collins to HOU 23 for 13 yards (D.James; A.Gilman).,1st & 10 at HOU 10
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,5,HOU,0,2,0,Pass Incomplete,(10:49) (Shotgun) C.Stroud pass incomplete short middle to J.Metchie (A.Gilman).,1st & 10 at HOU 23
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,5,HOU,0,3,0,-8 Yard Sack,(10:46) (Shotgun) C.Stroud sacked at HOU 15 for -8 yards (K.Mack).,2nd & 10 at HOU 23
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,5,HOU,0,4,0,10 Yard Pass,(10:04) (Shotgun) C.Stroud pass short right to J.Metchie to HOU 25 for 10 yards (D.James).,3rd & 18 at HOU 15
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,5,HOU,0,5,0,Punt,"(9:28) T.Townsend punts 50 yards to LAC 25, Center-J.Weeks, fair catch by D.Davis.",4th & 8 at HOU 25
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,6,LAC,0,1,0,1 Yard Run,(9:20) (Shotgun) J.Dobbins left tackle to LAC 26 for 1 yard (D.Hunter; M.Bryant).,1st & 10 at LAC 25
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,6,LAC,0,2,0,-3 Yard Run,(8:43) (Shotgun) D.Davis left end to LAC 23 for -3 yards (K.Lassiter).,2nd & 9 at LAC 26
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,6,LAC,0,3,0,19 Yard Pass,(8:02) (Shotgun) J.Herbert pass short middle to L.McConkey to LAC 42 for 19 yards (E.Murray; A.Al-Shaair).,3rd & 12 at LAC 23
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,6,LAC,0,4,0,2 Yard Run,(7:19) (Shotgun) J.Dobbins left tackle to LAC 44 for 2 yards (D.Barnett).,1st & 10 at LAC 42
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,6,LAC,0,5,0,Pass Incomplete,(6:38) (Shotgun) J.Herbert pass incomplete deep right to L.McConkey (D.Stingley).,2nd & 8 at LAC 44
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,6,LAC,0,6,0,Pass Incomplete,(6:32) (Shotgun) J.Herbert pass incomplete short left to J.Dobbins.,3rd & 8 at LAC 44
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,6,LAC,0,7,0,Punt,"(6:27) J.Scott punts 55 yards to HOU 1, Center-J.Harris, downed by LAC-D.Leonard.",4th & 8 at LAC 44
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,7,HOU,1,1,0,7 Yard Run,(6:15) J.Mixon up the middle to HOU 8 for 7 yards (T.Tart).,1st & 10 at HOU 1
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,7,HOU,1,2,0,Pass Incomplete,(5:37) C.Stroud pass incomplete short left.,2nd & 3 at HOU 8
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,7,HOU,1,3,0,5 Yard Pass,(5:30) (Shotgun) C.Stroud pass short left to N.Collins to HOU 13 for 5 yards (K.Fulton).,3rd & 3 at HOU 8
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,7,HOU,1,4,0,3 Yard Run,(4:47) J.Mixon left tackle to HOU 16 for 3 yards (K.Mack).,1st & 10 at HOU 13
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,7,HOU,1,5,0,7 Yard Pass,(4:11) (Shotgun) C.Stroud pass short left to J.Metchie ran ob at HOU 23 for 7 yards (D.Henley).,2nd & 7 at HOU 16
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,7,HOU,1,6,0,Pass Incomplete,(3:32) (Shotgun) C.Stroud pass incomplete short right to R.Woods [P.Ford].,1st & 10 at HOU 23
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,7,HOU,1,7,0,-11 Yard Penalty,"(3:26) (Shotgun) C.Stroud pass short middle to X.Hutchinson to HOU 27 for 4 yards (D.Leonard) [T.Tart].
PENALTY on HOU-T.Howard, Tripping, 11 yards, enforced at HOU 23 - No Play.",2nd & 10 at HOU 23
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,7,HOU,1,8,0,5 Yard Pass,(3:04) C.Stroud pass short right to C.Stover to HOU 17 for 5 yards (D.James).,2nd & 21 at HOU 12
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,7,HOU,1,9,0,34 Yard Pass,"(2:24) (Shotgun) C.Stroud to HOU 13 for -4 yards. FUMBLES, and recovers at HOU 5. C.Stroud pass deep right to X.Hutchinson to LAC 49 for 34 yards (E.Jackson).",3rd & 16 at HOU 17
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,7,HOU,1,10,0,Pass Incomplete,(2:00) (Shotgun) C.Stroud pass incomplete short middle to D.Schultz (T.Dye).,1st & 10 at LAC 49
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,7,HOU,1,11,0,37 Yard Pass,(1:57) (Shotgun) C.Stroud pass deep left to N.Collins to LAC 12 for 37 yards (A.Gilman).,2nd & 10 at LAC 49
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,7,HOU,1,12,0,-1 Yard Run,(1:09) (Shotgun) J.Mixon up the middle to LAC 13 for -1 yards (P.Ford).,1st & 10 at LAC 12
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,7,HOU,1,13,0,Pass Incomplete,(1:05) (Shotgun) C.Stroud pass incomplete short middle to R.Woods (C.Hart).,2nd & 11 at LAC 13
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,7,HOU,1,14,0,Touchdown Texans,"(1:02) (Shotgun) C.Stroud pass short middle to N.Collins for 13 yards, TOUCHDOWN.",3rd & 11 at LAC 13
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,7,HOU,1,15,1,Extra Point Good,"K.Fairbairn extra point is GOOD, Center-J.Weeks, Holder-T.Townsend.",XP attempt from LAC 15
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,8,LAC,0,1,0,Kickoff,"K.Fairbairn kicks 65 yards from HOU 35 to end zone, Touchback to the LAC 30.",Kickoff from HOU 35
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,8,LAC,0,2,0,Pass Incomplete,(:58) (Shotgun) J.Herbert pass incomplete deep middle to D.Chark (D.Stingley).,1st & 10 at LAC 30
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,8,LAC,0,3,0,Pass Incomplete,(:52) (Shotgun) J.Herbert pass incomplete deep middle to L.McConkey.,2nd & 10 at LAC 30
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,8,LAC,0,4,0,Pass Incomplete,(:45) (Shotgun) J.Herbert pass incomplete deep right to Q.Johnston [A.Al-Shaair].,3rd & 10 at LAC 30
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,8,LAC,0,5,0,Punt,"(:39) J.Scott punts 48 yards to HOU 22, Center-J.Harris. R.Woods to HOU 32 for 10 yards (J.Harris).",4th & 10 at LAC 30
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,9,HOU,1,1,0,4 Yard Pass,(:27) (Shotgun) C.Stroud pass short left to J.Metchie pushed ob at HOU 36 for 4 yards (T.Still).,1st & 10 at HOU 32
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,9,HOU,1,2,0,27 Yard Run,(:22) (Shotgun) C.Stroud scrambles up the middle to LAC 37 for 27 yards (D.Henley).,2nd & 6 at HOU 36
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,9,HOU,1,3,0,5 Yard Run,(:13) (Shotgun) D.Ogunbowale up the middle to LAC 32 for 5 yards (P.Ford).,1st & 10 at LAC 37
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,9,HOU,1,4,0,9 Yard Pass,(:09) (Shotgun) C.Stroud pass short middle to R.Woods to LAC 23 for 9 yards (T.Still).,2nd & 5 at LAC 32
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,9,HOU,1,5,1,Field Goal,"(:06) K.Fairbairn 41 yard field goal is GOOD, Center-J.Weeks, Holder-T.Townsend.",1st & 10 at LAC 23
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,2ND QUARTER,10,LAC,0,1,0,Kickoff,K.Fairbairn kicks 71 yards from HOU 35 to LAC -6. D.Davis to LAC 15 for 21 yards (D.Ogunbowale). LAC-D.Davis was injured during the play.,Kickoff from HOU 35
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,3RD QUARTER,1,HOU,0,1,0,Kickoff,"C.Dicker kicks 65 yards from LAC 35 to end zone, Touchback to the HOU 30.",Kickoff from LAC 35
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,3RD QUARTER,1,HOU,0,2,0,5 Yard Run,(15:00) (Shotgun) J.Mixon left tackle to HOU 35 for 5 yards (D.Henley).,1st & 10 at HOU 30
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,3RD QUARTER,1,HOU,0,3,0,Run for No Gain,(14:25) (Shotgun) J.Mixon left guard to HOU 35 for no gain (P.Ford).,2nd & 5 at HOU 35
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,3RD QUARTER,1,HOU,0,4,0,41 Yard Pass,(13:45) (Shotgun) C.Stroud pass short middle to N.Collins to LAC 24 for 41 yards (K.Mack) [D.Henley].,3rd & 5 at HOU 35
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,3RD QUARTER,1,HOU,0,5,0,Fumble,"(12:57) (Shotgun) J.Mixon right end to LAC 26 for -2 yards (T.Jefferson). FUMBLES (T.Jefferson), RECOVERED by LAC-T.Jefferson at LAC 26. T.Jefferson to LAC 26 for no gain (J.Scruggs).
Penalty on HOU-B.Fisher, Offensive Holding, declined.",1st & 10 at LAC 24
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,3RD QUARTER,2,LAC,0,1,0,32 Yard Pass,"(12:50) J.Herbert pass short right to L.McConkey to LAC 43 for 17 yards (D.Stingley).
PENALTY on HOU-D.Stingley, Face Mask, 15 yards, enforced at LAC 43.",1st & 10 at LAC 26
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,3RD QUARTER,2,LAC,0,2,0,4 Yard Run,(12:15) (Shotgun) G.Edwards right tackle to HOU 38 for 4 yards (E.Murray).,1st & 10 at HOU 42
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,3RD QUARTER,2,LAC,0,3,0,4 Yard Run,(11:33) (Shotgun) G.Edwards right guard to HOU 34 for 4 yards (W.Anderson).,2nd & 6 at HOU 38
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,3RD QUARTER,2,LAC,0,4,0,Run for No Gain,(10:57) (Shotgun) G.Edwards left tackle to HOU 34 for no gain (A.Al-Shaair).,3rd & 2 at HOU 34
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,3RD QUARTER,2,LAC,0,5,0,Turnover on Downs,"(10:16) J.Herbert pass short right to Q.Johnston to HOU 33 for 1 yard (D.Stingley).
The Replay Official reviewed the pass completion ruling, and the play was REVERSED.
J.Herbert pass incomplete short right to Q.Johnston (D.Stingley).",4th & 2 at HOU 34
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,3RD QUARTER,3,HOU,1,1,0,6 Yard Run,(10:10) C.Stroud scrambles left end to HOU 41 for 6 yards (J.Colson).,1st & 10 at HOU 35
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,3RD QUARTER,3,HOU,1,2,0,7 Yard Pass,(9:29) C.Stroud pass short left to N.Collins to HOU 48 for 7 yards (T.Tart).,2nd & 4 at HOU 41
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,3RD QUARTER,3,HOU,1,3,0,11 Yard Pass,(8:50) (Shotgun) C.Stroud pass short middle to C.Stover to LAC 41 for 11 yards (T.Dye).,1st & 10 at HOU 48
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,3RD QUARTER,3,HOU,1,4,0,7 Yard Pass,(8:06) (Shotgun) C.Stroud pass short left to C.Stover to LAC 34 for 7 yards (T.Dye). LAC-C.Hart was injured during the play.,1st & 10 at LAC 41
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,3RD QUARTER,3,HOU,1,5,0,15 Yard Run,(7:41) J.Mixon left tackle pushed ob at LAC 19 for 15 yards (A.Gilman).,2nd & 3 at LAC 34
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,3RD QUARTER,3,HOU,1,6,0,-5 Yard Run,"(7:19) (No Huddle) J.Mixon left tackle to LAC 7 for 12 yards (T.Dye).
PENALTY on HOU-T.Howard, Offensive Holding, 10 yards, enforced at LAC 14.",1st & 10 at LAC 19
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,3RD QUARTER,3,HOU,1,7,0,Interception,"(6:57) (Shotgun) C.Stroud pass deep right intended for D.Schultz INTERCEPTED by D.James at LAC -5. D.James to LAC 41 for 46 yards (C.Stover).
PENALTY on HOU-J.Mixon, Unnecessary Roughness, 15 yards, enforced at LAC 41.
The Replay Official reviewed the interception ruling, and the play was REVERSED.
(Shotgun) C.Stroud pass incomplete deep right to D.Schultz (D.James).
PENALTY on HOU-J.Mixon, Unnecessary Roughness, 15 yards, enforced at LAC 24.",1st & 15 at LAC 24
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,3RD QUARTER,3,HOU,1,8,0,-10 Yard Penalty,"(6:51) (Shotgun) C.Stroud scrambles up the middle to LAC 33 for 6 yards (T.Dye).
PENALTY on HOU-B.Fisher, Offensive Holding, 10 yards, enforced at LAC 39 - No Play.",2nd & 30 at LAC 39
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,3RD QUARTER,3,HOU,1,9,0,5 Yard Penalty,"(6:24) (Shotgun) C.Stroud pass incomplete deep left to N.Collins (K.Fulton).
PENALTY on LAC-J.Bosa, Defensive Offside, 5 yards, enforced at LAC 49 - No Play.",2nd & 40 at LAC 49
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,3RD QUARTER,3,HOU,1,10,0,13 Yard Pass,(6:17) C.Stroud pass short middle to J.Mixon to LAC 31 for 13 yards (T.Still).,2nd & 35 at LAC 44
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,3RD QUARTER,3,HOU,1,11,0,12 Yard Pass,(5:34) (Shotgun) C.Stroud pass short left to D.Johnson to LAC 19 for 12 yards (D.Leonard).,3rd & 22 at LAC 31
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,3RD QUARTER,3,HOU,1,12,1,Field Goal,"(4:51) K.Fairbairn 37 yard field goal is GOOD, Center-J.Weeks, Holder-T.Townsend.",4th & 10 at LAC 19
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,3RD QUARTER,4,LAC,0,1,0,Kickoff,K.Fairbairn kicks 63 yards from HOU 35 to LAC 2. D.Davis pushed ob at LAC 29 for 27 yards (N.Hewitt). ** Injury Update: LAC-D.Davis has returned to the game.,Kickoff from HOU 35
2024,Wild Card Weekend,SAT,01/11,Chargers,Texans,3RD QUARTER,4,LAC,0,2,0,Run for No Gain,(4:43) J.Dobbins left tackle to LAC 29 for no gain (E.Murray).,1st & 10 at LAC 29
